Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         20 |     31,995 |          0 |         23 |     32,018 |
| TypeScript JSX     |        134 |     12,310 |      2,835 |      1,863 |     17,008 |
| TypeScript         |         94 |      5,635 |        991 |      1,131 |      7,757 |
| MS SQL             |         13 |        416 |         36 |          2 |        454 |
| PostCSS            |          1 |        277 |          6 |         35 |        318 |
| XML                |         18 |        146 |          1 |          9 |        156 |
| Markdown           |          2 |         48 |          1 |         21 |         70 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        285 |     50,881 |      3,872 |      3,090 |     57,843 |
| . (Files)                                                                        |         17 |     11,580 |         72 |         63 |     11,715 |
| app                                                                              |         86 |      4,996 |      1,279 |        861 |      7,136 |
| app (Files)                                                                      |          5 |        369 |         20 |         46 |        435 |
| app/about                                                                        |          1 |         54 |         45 |         12 |        111 |
| app/admin                                                                        |         22 |      1,594 |        140 |        212 |      1,946 |
| app/admin (Files)                                                                |          2 |        105 |         10 |         21 |        136 |
| app/admin/appointment                                                            |          1 |         93 |          1 |         11 |        105 |
| app/admin/categories                                                             |          3 |        235 |          7 |         45 |        287 |
| app/admin/categories (Files)                                                     |          1 |        102 |          4 |         16 |        122 |
| app/admin/categories/[id]                                                        |          1 |         48 |          0 |         17 |         65 |
| app/admin/categories/new                                                         |          1 |         85 |          3 |         12 |        100 |
| app/admin/customers                                                              |          1 |          4 |          0 |          2 |          6 |
